"TF1"	"TF2"	"Significant enriched Motifs"
"PRR9_1"	"PRR5_1"	"G.box,BZR2,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,PIF4,MYC3,MYC4,UNE10"
"TOC1_1"	"PRR5_1"	"BZR2,BZR1_1,FHY3,ABF3,ABF2,AT4G18890,bZIP52,bZIP68_1,FAR1,HY5,PIF3,GBF3"
"CCA1"	"PRR7"	""
"CCA1_ZT02"	"PRR7"	""
"CCA1_ZT14"	"PRR7"	""
"CRY2"	"PRR7"	""
"ELF3_ZT0_1"	"PRR7"	"The genes that are target of this intersection are not present in ATTRACTOR"
"ELF4_1"	"PRR7"	""
"FHY1"	"PRR7"	""
"LHY_1"	"PRR7"	""
"LUX_ZT10_1"	"PRR7"	""
"LUX_ZT12_1"	"PRR7"	"ABI5,PIF4,MYC4,UNE10"
"PHYA"	"PRR7"	"G.box,BZR1_1,FHY3,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,bHLH31,HY5,PIF1,PIF3,PIF4,PIF5,MYC3,GATA9,SPT,UNE10"
"PHYB"	"PRR7"	"G.box,BZR2,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,PIF1,PIF4,MYC3,MYC4"
"PIF3"	"PRR7"	""
"PIF4"	"PRR7"	""
"PIF5"	"PRR7"	""
"PRR5_1"	"PRR7"	""
"PRR7"	"PRR7"	"G.box,ABI5,ABF2,ARF5,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,PIF1,PIF4,PIF5,MYC3,MYC4,UNE10"
"PRR9_1"	"PRR7"	""
"TOC1_1"	"PRR7"	""
"CCA1"	"PRR9_1"	"bZIP43,bZIP48,bZIP68_1,GBF6"
"CCA1_ZT02"	"PRR9_1"	"bZIP43,bZIP48,bZIP68_1,LCL1,GBF6"
"CCA1_ZT14"	"PRR9_1"	""
"CRY2"	"PRR9_1"	""
"ELF3_ZT0_1"	"PRR9_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"ELF3_ZT4_1"	"PRR9_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"ELF4_1"	"PRR9_1"	""
"FHY1"	"PRR9_1"	""
"LHY_1"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,HY5,PIF4,MYC3,GT.1"
"LUX_ZT10_1"	"PRR9_1"	""
"LUX_ZT12_1"	"PRR9_1"	"G.box,FHY3,ABI5,BEE2,BIM1,BIM2,BIM3,bZIP68_2,bZIP68_1,MYC3,UNE10"
"PHYA"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,bZIP44,bZIP53,bZIP68_1,HY5,PIF1,PIF4,MYC3,MYC4,UNE10"
"PHYB"	"PRR9_1"	"G.box,BZR2,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,PIF1,PIF4,MYC3,MYC4"
"PIF3"	"PRR9_1"	"bZIP68_1"
"PIF4"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,HY5,PIF1,PIF4,MYC3,MYC4,UNE10"
"PIF5"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,PIF1,PIF4,MYC3,MYC4,UNE10"
"PRR5_1"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,bZIP68_1,HY5,PIF4,MYC3,MYC4,SPT,UNE10"
"PRR7"	"PRR9_1"	"G.box,FHY3,ABI5,ABF2,BEE2,BIM2,BIM3,PIF1,MYC3,MYC4"
"PRR9_1"	"PRR9_1"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,bZIP68_1,HY5,PIF4,MYC3,MYC4"
"TOC1_1"	"PRR9_1"	"G.box,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,MYC3,UNE10"
"CCA1"	"TOC1_1"	""
"CCA1_ZT02"	"TOC1_1"	""
"CCA1_ZT14"	"TOC1_1"	""
"CRY2"	"TOC1_1"	"ABF2,CMTA2"
"ELF4_1"	"TOC1_1"	""
"FHY1"	"TOC1_1"	""
"LHY_1"	"TOC1_1"	"BZR2,BZR1_1,CMTA2,DREB1A"
"LUX_ZT10_1"	"TOC1_1"	"BZR2,ABI5,ABF2,BIM1,HY5,PIF4,MYC4,UNE10"
"LUX_ZT12_1"	"TOC1_1"	""
"PHYA"	"TOC1_1"	"BZR1_1,ABI5,ABF2,HY5,PIF1,PIF3,PIF4,UNE10"
"PHYB"	"TOC1_1"	"ABF2,CMTA2"
"PIF3"	"TOC1_1"	"G.box,BZR2,BZR1_1,ABF3,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,bZIP68_2,AT4G18890,bZIP68_1,bHLH77,PIF1,PIF3,PIF4,MYC3,MYC4,UNE10"
"PIF4"	"TOC1_1"	"CMTA2"
"PIF5"	"TOC1_1"	"CMTA2"
"PRR5_1"	"TOC1_1"	"CMTA2,CAMTA1,WRKY33,WRKY3"
"PRR7"	"TOC1_1"	""
"PRR9_1"	"TOC1_1"	""
"TOC1_1"	"TOC1_1"	"BZR1_1,ABF3,CAMTA1,bZIP52,HY5,KAN4"
